"tipo","ga_indice","p_indice","t_indice","pc_indice","pc_metodos","pc_respuesta","pc_activacion","pc_celeridad","pg_indice","pg_mec","pg_formato","pg_actores","pg_func","pg_seg","tc_indice","tcai_indice","tcai_completitud","tcai_claridad","tcai_celeridad","tctp_indice","tctp_google","tctp_buscador","tctp_confiabilidad","tctp_comprensibilidad","tctp_interaccion","tctp_fecha_act","tg_indice","tgda_indice","tgda_accesible","tgda_digital","tgda_leg_maq","tgda_gratuito","tgda_lic_abierta","tgda_formato_abierto","tgda_oportuno","tgda_url","tgda_no_disc","tgda_integral","tgda_interaccion","tgta_indice","tgai_indice","tgai_respuesta","tgai_plazo","tgai_prorroga"
"Autónomo",0.5462899529326923,0.39721153846153845,0.6953683673557692,0.5618269230769231,0.8730769230769231,0.625,0.27884615384615385,0.47195512817307694,0.22049019607843137,0.38235294117647056,0.23392156862745098,0.23529411764705882,0.2549019607843137,0.06862745098039216,0.6003909932788462,0.7093055016634615,0.8790064101923077,0.8048878205096154,0.4440222741923077,0.43701923076923077,0.8461538461538461,0.40865384615384615,0.18269230769230768,0.7211538461538461,0.41346153846153844,0.04807692307692308,0.7903457415096153,0.11076923076923077,0.08653846153846154,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.04807692307692308,0.1346153846153846,0.1346153846153846,0.08653846153846154,0.057692307692307696,0.8077848296893204,0.898772530125,0.9716232288365385,0.8234799426346154,0.9012144188461538
"Descentralizado",0.49887871026717556,0.34635496183206105,0.6514024586450382,0.5307251908396946,0.8259541984732824,0.6068702290076335,0.2633587786259542,0.4284351144732824,0.14100806451612904,0.2862903225806452,0.14915322580645163,0.10483870967741936,0.15725806451612903,0.036290322580645164,0.5362894142099237,0.708555724954023,0.8521711365747127,0.8124201788122606,0.46107585954406133,0.2819465648854962,0.5,0.24427480916030533,0.1269083969465649,0.5114503816793893,0.23282442748091603,0.07633587786259542,0.7665155031335877,0.09717557251908397,0.08206106870229007,0.12213740458015267,0.12213740458015267,0.12213740458015267,0.12213740458015267,0.12213740458015267,0.019083969465648856,0.11450381679389313,0.1183206106870229,0.07251908396946564,0.05343511450381679,0.7490546953065134,0.8916352437011494,0.952049106321839,0.8181797982183908,0.9046768265785441
"Ejecutivo",0.5200992361741177,0.3594705882352941,0.6807278840564706,0.48409411764705884,0.819764705882353,0.5223529411764706,0.2211764705882353,0.3743137254635294,0.21934177215189873,0.4050632911392405,0.22344303797468354,0.17721518987341772,0.2708860759493671,0.05569620253164557,0.5591228457152941,0.7109819125839244,0.835894404964539,0.7780732860425532,0.5189780466761229,0.33487058823529414,0.6305882352941177,0.34941176470588237,0.15705882352941178,0.6070588235294118,0.20941176470588235,0.05529411764705883,0.8023329225082353,0.17670588235294118,0.14705882352941177,0.21411764705882352,0.21411764705882352,0.21411764705882352,0.21411764705882352,0.21411764705882352,0.07058823529411765,0.20705882352941177,0.21176470588235294,0.15294117647058825,0.08705882352941176,0.7997197406494118,0.9122034086217494,0.9755943344846336,0.8458778263593381,0.915138065070922
"Fideicomiso",0.33469519988679247,0.14735849056603773,0.5220319091886793,0.2238679245283019,0.3886792452830189,0.2358490566037736,0.09433962264150944,0.1776729559716981,0.05295774647887324,0.09859154929577464,0.05126760563380282,0.028169014084507043,0.07042253521126761,0.014084507042253521,0.44714515996226417,0.6619825936907217,0.7499999999484536,0.7633161512680412,0.47263163020618554,0.1991509433962264,0.5471698113207547,0.12735849056603774,0.11084905660377359,0.27358490566037735,0.009433962264150943,0.12264150943396226,0.5969186585,0.030849056603773586,0.02830188679245283,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.009433962264150943,0.03773584905660377,0.03773584905660377,0.02830188679245283,0.009433962264150943,0.654802341097561,0.8012756049072165,0.8479274517835051,0.7395423317319587,0.8163570312268041
"IES",0.5148249211953125,0.356796875,0.67285296734375,0.541171875,0.8546875,0.5625,0.3203125,0.428385416640625,0.1,0.21818181818181817,0.11136363636363637,0.07272727272727272,0.1,0.02727272727272727,0.617641482171875,0.70169413690625,0.8378906249375,0.8476562500234375,0.419535535765625,0.4915625,0.875,0.48828125,0.142578125,0.8984375,0.5,0.046875,0.7280644526484376,0.056328125,0.04296875,0.0703125,0.0703125,0.0703125,0.0703125,0.0703125,0.015625,0.0703125,0.0703125,0.0390625,0.03125,0.7217998976875,0.843152784734375,0.9112330180703125,0.76352243384375,0.854702902234375
"Judicial",0.49589531785074625,0.33238805970149254,0.659402575880597,0.5055223880597015,0.791044776119403,0.582089552238806,0.2835820895522388,0.36815920392537316,0.05784313725490196,0.13725490196078433,0.05176470588235294,0.0784313725490196,0.058823529411764705,0,0.523359489402985,0.6978379549850746,0.8681592039552238,0.7512437811641791,0.47411088001492535,0.26164179104477614,0.5223880597014925,0.291044776119403,0.13059701492537312,0.43283582089552236,0.16417910447761194,0.029850746268656716,0.7954456623880597,0.06716417910447761,0.06716417910447761,0.08955223880597014,0.08955223880597014,0.08955223880597014,0.08955223880597014,0.08955223880597014,0,0.08955223880597014,0.08955223880597014,0.029850746268656716,0.014925373134328358,0.799164140477612,0.9149666705522388,0.9816718770895523,0.8485939165970149,0.9146342180597015
"Legislativo",0.5674382192923076,0.4565384615384615,0.678337977,0.571076923076923,0.8430769230769231,0.6461538461538462,0.3076923076923077,0.48846153841538464,0.3157894736842105,0.5789473684210527,0.3019298245614035,0.43859649122807015,0.3157894736842105,0.10526315789473684,0.5617916305076923,0.7000116918461539,0.8282051281846153,0.7673076922923077,0.5045222551230769,0.35446153846153844,0.6923076923076923,0.4076923076923077,0.19615384615384615,0.5230769230769231,0.15384615384615385,0.15384615384615385,0.7948843235538462,0.10553846153846154,0.1,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.03076923076923077,0.13846153846153847,0.13846153846153847,0.03076923076923077,0.03076923076923077,0.7659762812307692,0.9242293216307692,0.9811958762769231,0.850993722,0.9404983664769231
"Municipio",0.440073219144427,0.32740973312401883,0.5527367051946624,0.38929356357927786,0.7368916797488226,0.4050235478806907,0.14756671899529042,0.26975405544270015,0.2655259026687598,0.4803767660910518,0.26612244897959186,0.27472527472527475,0.3076923076923077,0.07535321821036106,0.47738407286028256,0.6446197133076923,0.7938252223469388,0.7921899529230769,0.34784396458241756,0.22653061224489796,0.48194662480376765,0.1546310832025118,0.14285714285714285,0.42229199372056514,0.11616954474097331,0.03924646781789639,0.6280893375274725,0.05014128728414443,0.04081632653061224,0.059654631083202514,0.059654631083202514,0.059654631083202514,0.059654631083202514,0.059654631083202514,0.026687598116169546,0.058084772370486655,0.059654631083202514,0.04395604395604396,0.02511773940345369,0.590893679877551,0.743011841389325,0.8101253942857143,0.650473733021978,0.768436396822606
"Partido",0.3684813301879699,0.22150375939849623,0.5154589009548872,0.40090225563909776,0.6706766917293233,0.43609022556390975,0.21052631578947367,0.28822055136090224,0.036212121212121216,0.06818181818181818,0.030075757575757575,0.03787878787878788,0.045454545454545456,0.007575757575757576,0.44095731257142856,0.6481480122954545,0.7790404039772727,0.7784090909469698,0.38699454191666666,0.13466165413533834,0.2932330827067669,0.16917293233082706,0.06954887218045112,0.21052631578947367,0.045112781954887216,0.018796992481203006,0.5899604892932331,0,0,0,0,0,0,0,0,0,0,0,0,0.47917632883458644,0.7493132519772727,0.8127160617348484,0.6693080989318182,0.7659155953409091
"Sindicato",0.27428222537068964,0.2013793103448276,0.3471851403448276,0.29586206896551726,0.5241379310344828,0.3275862068965517,0.12931034482758622,0.20258620687068965,0.005633802816901409,0.014084507042253521,0.014084507042253521,0.014084507042253521,0,0,0.29038671428448276,0.45723025773394493,0.5214067278165138,0.5397553516972478,0.3105286936238532,0.07232758620689655,0.09482758620689655,0.10344827586206896,0.023706896551724137,0.1724137931034483,0.034482758620689655,0.004310344827586207,0.40398356646551725,0,0,0,0,0,0,0,0,0,0,0,0,0.34457304801818184,0.5377451988727273,0.564470021309091,0.4882052807,0.5605602946727273
